date,time,Latitude,Longitude,Barometer (mmHg),sal,tds,temp,sigmat,sigma,pH,orp,turbidity,ODO_sat,ODO_mgl,Chl,pe,depth,site
8/21/2021,9:10:29 AM,33.44383,-116.03628,760.7,60.68,55979,88,-8,-8,7.88,95.7,1.23,51.8,2.76,NA,NA,0.5,doc
8/21/2021,9:12:15 AM,33.44364,-116.0361,760.8,60.68,55976,88,-8,-8,7.99,87.8,1.09,47.5,2.53,NA,NA,0.5,doc
8/21/2021,11:09:45 AM,33.44081,-116.04016,760.8,60.3,55707,89.5,-8,-8,7.92,78.7,81.65,152.4,8.04,NA,NA,0.5,doc
8/21/2021,10:45:02 AM,33.44114,-116.04382,760.6,0.92,1195,90.8,-4.5,-4.5,7.72,119.9,1.17,130.2,9.37,NA,NA,0.5,in1
9/18/2021,9:39:31 AM,33.46878,-116.02496,765.9,60.95,56193,88.2,-8,-8,7.78,29.1,1.06,111.3,5.91,NA,NA,0.5,ss1
9/18/2021,9:40:00 AM,33.46878,-116.02502,765.8,60.95,56190,88.2,-8,-8,7.86,24.3,1.11,110.3,5.86,,,2.5,ss1
9/18/2021,9:40:28 AM,33.46877,-116.02506,765.9,60.95,56188,88.1,-8,-8,7.89,23.6,1.09,105.1,5.59,NA,NA,5.5,ss1
9/18/2021,9:41:35 AM,33.46877,-116.02519,765.9,60.93,56172,88.1,-8,-8,7.91,-72.8,8.36,97,5.16,NA,NA,5.5,ss1
9/18/2021,9:48:37 AM,33.47634,-116.03213,766,60.9,56152,88.3,-8,-8,7.98,15,1.44,133.6,7.1,NA,NA,0.5,ss2
9/18/2021,9:49:00 AM,33.47634,-116.03214,765.9,60.94,56182,88.1,-8,-8,7.99,15.4,1.31,119.8,6.37,NA,NA,1.5,ss2
9/18/2021,9:49:23 AM,33.47633,-116.03215,766,60.94,56181,88.1,-8,-8,7.99,15.8,1.24,105.1,5.59,NA,NA,2.5,ss2
9/18/2021,9:50:01 AM,33.47632,-116.03224,765.9,60.94,56181,88.1,-8,-8,7.99,9.6,1.24,94.8,5.04,NA,NA,4.5,ss2
9/18/2021,9:55:39 AM,33.48315,-116.03884,765.9,60.35,55698,87.1,-8,-8,8.08,29.5,2.43,176.4,9.48,NA,NA,0.5,ss3
9/18/2021,9:56:04 AM,33.48315,-116.0389,765.9,60.81,56071,87.8,-8,-8,8.08,29.7,1.94,160.1,8.53,NA,NA,1.5,ss3
9/18/2021,9:56:35 AM,33.48314,-116.03897,765.9,60.91,56161,88.1,-8,-8,8.06,30.5,1.44,137.4,7.3,NA,NA,2.5,ss3
9/18/2021,9:57:09 AM,33.48315,-116.03902,766,60.91,56159,88.2,-8,-8,8.06,0.6,1.45,133.3,7.08,NA,NA,3.5,ss3
9/18/2021,10:02:39 AM,33.49015,-116.04684,765.9,60.09,55512,87.9,-8,-8,8.11,35,3.06,196.2,10.49,NA,NA,0.5,ss4
9/18/2021,10:03:01 AM,33.49016,-116.04688,765.9,60.76,56032,87.8,-8,-8,8.1,36.6,2.4,155.6,8.3,NA,NA,1.5,ss4
9/18/2021,10:03:47 AM,33.49018,-116.04698,765.9,60.73,56010,87.7,-8,-8,8.11,30.7,2.44,147.6,7.88,NA,NA,1.5,ss4
9/18/2021,10:11:59 AM,33.49664,-116.04641,765.9,59.93,55383,87.9,-8,-8,8.14,42.4,3.23,172.9,9.26,NA,NA,0.5,ss5
9/18/2021,10:12:29 AM,33.49665,-116.04646,766,60.38,55713,86.8,-8,-8,8.13,43.7,6.96,128.7,6.94,NA,NA,1,ss5
9/18/2021,10:28:04 AM,33.49606,-116.05252,765.9,58.46,54249,89.3,-8,-8,8.17,-16.5,38.7,192,10.24,NA,NA,0.5,ss6
9/18/2021,10:39:29 AM,33.491,-116.05405,765.8,60.04,55471,88.1,-8,-8,8.19,62,3.39,211.1,11.27,NA,NA,0.5,ss7
9/18/2021,10:40:07 AM,33.49101,-116.05411,765.9,59.61,55051,84.2,-8,-8,8.22,64.1,8.36,154.5,8.55,NA,NA,1,ss7
9/18/2021,11:55:55 AM,33.46625,-116.03584,765.3,60.64,55943,88.1,-8,-8,8.17,83.8,1.74,170.3,9.06,NA,NA,0.5,ss8
9/18/2021,11:56:25 AM,33.46621,-116.03587,765.3,60.77,56042,87.7,-8,-8,8.13,86.1,1.55,136.4,7.28,NA,NA,1.5,ss8
9/18/2021,11:56:59 AM,33.46618,-116.03593,765.2,60.74,56013,87.5,-8,-8,8.13,87.5,1.68,133.9,7.16,NA,NA,2.5,ss8
